idBoleto;idEmpresa;dataVecto;valorParc;total;origem;motivoDescarteApp
5530575;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530577;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530588;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530590;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530595;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530597;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530602;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530603;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530605;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530611;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530613;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530615;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530620;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530623;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530624;75;2025-09-10;495,04;495,04;0;Lido pelo App
5530627;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530631;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530632;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530633;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530634;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530636;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530646;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530647;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530648;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530649;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530653;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530656;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530659;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530661;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530662;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530664;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530665;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530670;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530672;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530673;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530677;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530681;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530683;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530684;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530686;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530688;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530689;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530690;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530691;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530693;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530694;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530695;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530697;75;2025-09-10;465,04;465,04;0;Lido pelo App
5530698;75;2025-09-10;465,04;465,04;0;Lido pelo App
5740235;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740237;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740238;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740248;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740250;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740255;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740257;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740262;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740263;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740265;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740273;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740275;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740283;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740284;75;2025-10-10;495,04;495,04;0;Lido pelo App
5740287;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740291;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740292;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740293;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740294;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740296;75;2025-10-10;465,04;465,04;0;Lido pelo App
5740299;75;2025-10-10;465,04;465,04;0;Lido pelo App
